,Name,Star,Location,Date,Title,Review
13,Amber,2.0,the United States ,"November 18, 2021",Sizing is way off..  in my case anyways!,"My son wears a small/medium in boxers and pants. I usually get him a small in boxer briefs because they fit perfectly, but because I was ordering online.. I figured I'd go up a size, just in case. Well, they're still too small! The leg holes are very tight, and the waste doesn't have much stretch! So upset. The softness and style of them is exactly what I wanted for my son, but he is just too uncomfortable in them. I can't see returning underwear, because it's just weird.  So, I guess I'm stuck with 10 pairs of boxer briefs that don't fit. My son is 6 years old, wears a size 6-8 in clothing depending on brand. He is average weight, about 50inches in height, for reference. I can't imagine what they would be like after going through a dryer. Perhaps next time I will size up to a large,  or choose another style all together."
14,crynone,2.0,the United States ,"August 4, 2022",Don’t use sz chart,"My son is 11, long and lean. I originally ordered Medium size…waaay too small. Then I ordered Large…way too small…not sure if I will continue to order these. ¯\_(ツ)_/¯"
15,LOTOYA,2.0,the United States ,"August 13, 2022",Way to small,I’ve selected size 10-12 yrs … they can fit my 11months old nephew. Not for kids that are 8yr .
16,Jinx,2.0,the United States ,"September 9, 2022",First wear and the crotch were all seedy and rubbed out,They fit but the material isn’t great
17,Fiona G.,2.0,the United States ,"July 21, 2022",Too small,I’m trying to return these because one of the drawers were ripped and they were too small for my sons.
18,Marlen,2.0,the United States ,"August 27, 2022",Vienen más chicos del size que pides,La verdad no me gustaron
19,KHP,2.0,the United States ,"December 21, 2021",Too small.,"(Photo shows large black pair underneath and new x-large ones on top.)I ordered these for two growing boys ages 10 and 11 and I swear they were smaller than the ones I bought them to replace and it got worse after the first wash! Unfortunately, cannot recommend. Only giving two stars in case I made a mistake in size when ordering, but pretty sure I got either the large or extra large. (Update- I checked and I ordered the x-large!)"
20,Jagmichael,3.0,the United States ,"November 28, 2022",Snug,My son is 5 and weighs 45 pounds.  He’s 46 inches tall.  23 inch waist.  I ordered a small but they are very tight on his waist.  I would order a size up next time.
21,SMM,3.0,the United States ,"December 4, 2022",Only 8 in this 10 pack,"When I opened this package, I found only 8 pairs instead of the advertised 10. It wasn’t worth returning, but just be aware."
22,Amazon Customer,3.0,the United States ,"November 18, 2022",Small but cozy,Order a size or two up. I ordered 10/12 for my very tall/slender 6 yr old who regularly wears a size 8. They were still slightly tight but usable so we kept them.
23,Dan P.,3.0,the United States ,"November 15, 2022",These were too small.,They didn't stretch and were just too small.
24,Yaya,3.0,the United States ,"October 11, 2022",A bit small,"My son is a size 16.  They fit really snug, and he is on the skinny side.  Order a size up."
25,Robert Zafuto,3.0,the United States ,"September 17, 2022","If you want stretch, keep looking.","At least 4 pairs in this pack are unwearable because the patterned material used has ZERO stretch, they won't go above his knees. The plain color pairs are soft and comfortable. Very disappointed that we didn't discover this before he had already worn a few pair."
26,Sam O,3.0,the United States ,"June 22, 2022",These run small!,"These run small small small. My son wears an 8 in pants and shorts but I read the reviews that these run small, so instead of getting a medium (8-10), I got a large (12-14). I was really nervous doing so because 12 is usually a bit far from 8 but I trusted the reviews. They barely fit. I washed them in warm water and dried on low heat like I do with all my clothing. They fit just barely. I would return if I hadn’t already washed them, and I have a younger boy who can wear them. But I would size up twice next time if I was to purchase again."
27,ndnbooh,3.0,the United States ,"September 6, 2022",Way to small for a big boy.,I ended up purchasing men's size medium. These are too small. They're more like a boys size 14.
28,Tina,3.0,the United States ,"August 28, 2022","So disappointed, I ordered a pack of 10 boxers and only received 5 of them in the packet","I love them but I am disappointed with the amount in the packet, I ordered 10 and I only received 5 of them"
29,Lane Bogue,3.0,the United States ,"July 24, 2022",Way too small,"Runs at least one size small. The camo is laid on top of another Hanes medium brief. There’s a huge difference in size, and these camo ones were not even close to fitting. Legs are small, waist is small, and unfortunately I washed all of them before I noticed. Pick another style  because these are not consistent with all of the other Hanes briefs."
30,Kerin Liu,4.0,the United States ,"November 29, 2022",Too small,I bought XL but it is still too small for my son
31,adrian,4.0,the United States ,"November 23, 2022",great product,"great design, fits as it should"
32,MP,4.0,the United States ,"October 27, 2022",Decent Underwear,"The underwear are on the thinner side, the material is a bit rough and they appear a bit smaller than average, but overall a decent buy."
33,Sadekimberly,4.0,the United States ,"October 16, 2022",Please with my purchase.,Exactly as described by seller.
34,phyllis potts,4.0,the United States ,"October 17, 2022",Xmas gift,Xmas gift
35,Bander Ibrahim,4.0,the United States ,"September 30, 2022",Good value,They are soft and comfortable. They run a little small but not that much.. Happy with my order.
36,Catherine Car,4.0,the United States ,"October 12, 2022",Not my fave,Run small
37,Laura Johnson,4.0,the United States ,"August 29, 2022",Order 1 size up,"Super cute, soft, comfortable. My only recommendation is to order 1 size up as they run small. Great value and cute prints"
38,Crystal Payne,4.0,the United States ,"August 15, 2022",If you child likes his under wear tight order to size if they like a little big order up.,These boxers are stretchy to a point. My child wears a 10/12 and they are tight. As far a comfortable he loves them. They are also soft.  Would recommend just know how you child likes his boxers. If they like loose order up.
39,Amanda,4.0,the United States ,"June 13, 2022",Thought they might be too big….,"There is no size chart in the post for this product. I ordered medium expecting it to be 7/8 after reading the answered questions. It actually has 10/12 on the package. I thought I’d be returning these because they would be too big. I opened the ziplock package and took a pair out to size them up next to my son. They look like they would fit him fine, especially if they shrink just a bit. He wears a 7/8 in clothing. He is 9 years old 53.5 inches tall and 64lbs. Bottom line is that these seem to run small. Hope this helps!"
40,Cali,5.0,the United States ,"September 28, 2022",Our go-to value boxer briefs for my son,"Exactly as advertised. Every time my son goes up a size we reorder these boxer briefs for him in his new size. Underwear is very much a personal decision on what a person expects of them, but for my son, these are his go to.The sizing is consistent and accurate to the size chart and the value of how many you get in a pack is important for us when choosing underwear. My son has never once complained about this brand or lack of comfort. They do have elastic waist band and the legs are a basic stretchy cotton. I will say they appear to sometimes get baggy around the legs at the end of the day and don’t continually offer “compression” but again, my son has never complained, so it meets my expectations. I haven’t had an issue with shrinking or anything either. They do become faded over time and definitely don’t look new forever, but again, it’s boys underwear, who is going to see it?My son is tall and on the slimmer side and these work well. I usually by his pants in slim, but he isn’t a true “bean pole” type either. I’m not sure how these would fit on ultra skinny or heavier set boys but they are stretchy.Pros-Price per pairConsistentcomfortable (so I’ve been told)Cons-Maybe the elastic waist band for someColor fades after many washes."
41,Bobbie,5.0,the United States ,"December 5, 2022","Good fit, comfy for my son","Not a ton of stretch but it's there. My son says it's comfortable & he loves the patterns. He's a solid kid, normally a size 10 & we ordered the large size with it fitting perfect."
42,jenn kronenburg,5.0,the United States ,"December 8, 2022",Hanes boy's boxer briefs,"My nephew will only wear boxer briefs so when you fobs some that are comfy and sized well, you buy them. Good value."
43,Kindle Customer,5.0,the United States ,"November 30, 2022",My husband loves these,These were perfect for my husband. I especially like the quality of the fabric. Its strong and durable.
44,Connie J.,5.0,the United States ,"December 6, 2022",Strong and durable,Perfect for my needs but too expensive for what ya get
45,J.Russo,5.0,the United States ,"December 4, 2022",Hanes  boys briefs,Bought these for my grandson. Very good price.
46,Daniel,5.0,the United States ,"November 29, 2022",Fits small,75 lb 8 yr old wears size lg and is snug!
47,Subbaiah Maneyapanda,5.0,the United States ,"November 30, 2022",Soft,Super soft and perfect fit.
48,Amazon Customer,5.0,the United States ,"November 19, 2022",Soft and stretchy,Soft and stretchy. Perfect fit for the size the website recommended. Very reasonably priced. Will buy again.
49,Tawana Boyd,5.0,the United States ,"November 18, 2022",Comfortable,Great quality and comfortable
50,VVVik,1.0,the United States ,"September 15, 2022",Very disappointed,"My son currently is wearing Large in underwear. They are getting a little small but still fit him. I wanted some for him to transition into so I purchased the next size up, which were these in XL (14/16) They are so small we can't even get them up half past his calves!! I already washed them not thinking they wouldn't fit!! I'm out the money and stuck with underwear that wouldn't be tight on a toddler! Now he will have to wait a month till I get paid to buy some that fit! I won't be buying this brand or for this buyer!"
51,Whitney Kaufman,1.0,the United States ,"November 28, 2022",Arrived in a sloppy mess,Giving one start because the underwear had been opened. The package was torn and sloppy. Underwear had obviously been taken out and returned or something… not impressed
52,Maykel Coffre,1.0,the United States ,"November 12, 2022",No me es funcional,"Pensaba que el tamaño era grande comparando con ptras marcas y es peor; ni pude colocarmelo bien y preferi en regalarlo pero no vale la pena ni venderlo, es tamaño de niño"
53,Tellisto,1.0,the United States ,"October 17, 2022",Nice but too small,"The fabric seems nice but my biggest issue is my 4yr old could not fit the SMALL.  Small can fit my 18 month old.  I don’t know how they come up with weight and measurements.  If you are to buy this, you might need to go 2 sizes up."
54,Jenney,1.0,the United States ,"October 20, 2022",Open item. Returning.,I’m not so sure I didn’t a returned item.  The underwear was sent to us in a clear bag with no tags or Hanes packaging.  Just all the underwear wadded up in a clear bag. I don’t feel good about this.  I’m returning them.
55,Dillois,1.0,the United States ,"September 8, 2022",Ain't nobody got time for this,"We're a busy family - kids, school, everyday after-school activities, fam time. Buying things like the underwear we always buy online saves us time. Do yourselves a favor and don't waste any on these. 5 of 6 pairs were unraveled, a complete seam gone on the red pair (see pic). Are these even really Hanes?"
56,Cindy S.,1.0,the United States ,"September 5, 2022",Looked great but first wash destroyed them.,After the very first wash there were long threads everywhere that came out from the stitching along the leg holes. So the legs are unraveling to the raw cut edges already. Pretty disappointed.
57,Mari,1.0,the United States ,"October 4, 2022",Fell apart,One washing and the thread completely unraveled from the leg. They're nice feeling but just poor quality. I'm returning them.
58,Theresa,1.0,the United States ,"October 18, 2022",small Run,These underwear run really small. I wouldn't wasted your time.
59,M.E.,1.0,the United States ,"May 28, 2022",Terrible quality,"Unraveled during the first wash. Had to throw away 2 pairs immediately because they were so destroyed, even just on a normal cycle. Save your money."
60,Sarah Lanier Rose,2.0,the United States ,"October 29, 2022",Very poor quality,One wash and the stitching came completely undone on two of the pairs.  Won’t buy again.
61,Jfraser,2.0,the United States ,"June 17, 2022",Sent Returned Item,"While the underwear are as expected, the seller sent me and item that had been returned. The underwear were not in the original packaging and there were 5 pairs sent, not 6."
62,BeagleMom08,2.0,the United States ,"June 5, 2022","Not true to size, shrinks","The fabric on these seem okay, but they are not true to size (smaller) and they shrunk more after washed and dried…a waste"
63,Melc,2.0,the United States ,"February 22, 2022",Go up at least 2 sizes!! Way too small!,My 7 year old couldn’t fit in the mediums comfortably. I purposely ordered up a size to make sure they fit and was happy when I saw they were 10-12. There’s no way these are 10-12 maybe a size 8. :(
64,carol,2.0,the United States ,"July 24, 2022","Does not run true to size, very small",Runs small
65,NC,2.0,the United States ,"February 11, 2022",No give!,If you really want these order a size up. I bought these for my sons and talk about nut huggers. These undies have zero give…barely any stretch to them. Makes for an uncomfortable day at school.
66,Jamie Warren,2.0,the United States ,"June 26, 2022",Order one size larger,By a size up
67,LAWACO TOE,2.0,the United States ,"April 27, 2022",Run SMALL,Please order one size up to be safe
68,Cristina Mendoza,2.0,the United States ,"April 5, 2022",Run small,These boxers run small definitely recommend going a size up
69,Carly Whitaker,2.0,the United States ,"April 23, 2022",Too small,Too small for my son.
70,Susan P,3.0,the United States ,"September 16, 2022",Wish Quality Was Better,"Super soft and fits as expected for my 9 year old. But unfortunately, 2 of them already have a run in them. A little difficult to see on the blue ones. My son has worn these once after initial wash. Very disappointed with the quality. I always buy Hanes for my boys and this is the first time I've had any issues with their boxer briefs."
71,Rglowe,3.0,the United States ,"September 21, 2022",Would be great but,These would be great except they are way too small. My son wears a small but after reading the reviews I ordered up and for these in a medium. They are still too small! It’s like there isn’t enough length in them. They aren’t too tight but they barely cover his butt crack and look super uncomfortable.
72,Martinez32,3.0,the United States ,"October 23, 2022",Run small,Bought for my 9 year old they run a bit smaller than what I thought ended up returning them
73,S. Sandy,3.0,the United States ,"September 5, 2022",Great until they snag,"The kid likes these. They fit well, the fabric is soft, and they seem to come up a little higher in back, preventing occasional plumber's crack.  However, they've been washed three times and worn twice and already have runs, snags, and holes. I've never had such delicate underwear. I washed on cold, in a front loader. To keep these nice might require hand washing, which is not really something I want to do with boys underwear."
74,Cleo S,3.0,the United States ,"October 19, 2022",After one wash..,The seams came off after one quick wash like the picture. very disappointed.
75,Yolayne,3.0,the United States ,"October 14, 2022",Pequeño,Pequeño
76,LM,3.0,the United States ,"September 18, 2022",Prefer cotton and need to be a little longer,Too short and I thought the material would have been cotton. My thinks it uncomfortable.
77,fostermom2008,3.0,the United States ,"June 14, 2022",Small fit,"Fit was small, tight, fabric does not stretch.  Son is in good shape & other brands fit him in his size."
78,Phyllis Conrad,3.0,the United States ,"May 23, 2022",They shrink up after wash.  Wish I would have gotten ex-larges,Looked the right size until washed.  Shrank up quite a bit.  Buy 1 size bigger
79,Laura Pomerleau,3.0,the United States ,"January 10, 2022",Order a size up,"Overall these underware are fine as far a quaility. My 13 y.o. says they are soft, but way too tight.  He wears a 14 slim pant, and normal cotton boxer breifs in Lg fit perfectly.  I'm reordering in XL.  I reccomend ordering a size up on these."
80,The Wymans,4.0,the United States ,"August 31, 2022",Too small with Minimal stretching,"Super cute and we were hopeful for a good fit. Sadly for my 10yo the XL was too small. The XL is a size 18-20 I believe which in my mind should fit pretty well. They fit him on the smaller side with minimal stretch. Cooper just turned 10 in August but is 105 lbs and 5’11 and has a good size bum. (Btw Dad is 6’4 so I’m assuming Cooper isn’t done growing) I figured if I added his size that would be helpful. I think if your child was smaller, these would be a great pair of underroos!  Btw-We ended up buying another brand as well 1 pack of  “5MAYI” Mens Small. (Also available on Amazon) They fit and feel amazing he said. I agreed seeing them on him. Just thought I would include the positive too about a good fitting pair for a larger/taller child."
81,Amazon Customer,4.0,the United States ,"October 16, 2022",Came in 2 different sizes,Super weird but I bought the 6 pack of XL for my son and I ended up with 3 pairs of XL and 3 pairs of L in the same pack…
82,laurenkalmond,4.0,the United States ,"October 5, 2022",Package was opened,"Moisture wicking material was nice and seemed well made but package had clearly been opened.  Out XL for my 5'8"" super thin, 13yo son"
83,Gail Burner,4.0,the United States ,"September 29, 2022",Not true to size,Grandson says their uncomfortable
84,Alan See,4.0,the United States ,"August 18, 2022",Very soft but shrank after washing in cold water.,Very soft but shrank after washing in cold water
85,Solangel Urena,4.0,the United States ,"August 4, 2022",Salen pequeños,Buena tela
86,Beth A.,4.0,the United States ,"July 4, 2022",A little small,He could wear them but they were a little snug around the legs for a 10 year old xl. He weighs about 100 lbs.
87,Jason S.,4.0,the United States ,"July 14, 2022",They run a little small,These run a little small
88,Ina,4.0,the United States ,"March 17, 2022",not the best for thin kids,ordered my almost 9 year old the large and he was swimming in them. then ordered the medium and they are still too big. He is a thin kid and these look like they should be for more stocky kids. we kept the medium and he will grow into them.
89,Kristi Wagner,4.0,the United States ,"February 18, 2022",Nice Undies but Size Up,"Soft, silky, and the band is secure. But size up. My seven year old normally wears an 8 and I got the medium. His thighs and crotch were being suffocated by these guys! I ordered a large and he seems to be happier."
90,Amber,5.0,the United States ,"December 8, 2022",Comfy,I love how they fit my 3 year old. Stretchy enough for movement and growth. Colors stay bright and washes well. This is his 2nd pack.
91,Angie N.,5.0,the United States ,"November 29, 2022",Picky son loves them,My son is super picky about underwear now and they can be SO expensive. These are a great value for the money and he says they are really comfortable. I like that they wash well - are quality
92,Renee,5.0,the United States ,"December 14, 2022","Great fit, stretchy","My son loves them. Fit great, no ride-up."
93,Smtswise,5.0,the United States ,"December 7, 2022",Fits Well,My 10 year old son wears a size 14 pants and this underwear fit him well.
94,Stephanie,5.0,the United States ,"October 27, 2022",6 year old is obsessed!,My son loves exercise shorts/tops material so thought we would try these when he needed new undies. He’s obsessed and refuses to wear cotton now (eye roll). So here I am writing a review and buying another pack! He wears a size 5 bottom and fits well in the small.
95,CupcakeBece,5.0,the United States ,"November 10, 2022",Great value,This variety pack is a great value for my growing 8 year old. The size fit as expected.
96,Marie Tirona,5.0,the United States ,"November 18, 2022",As described,"True to size, soft, colors don’t fade"
97,Michelle Iruegas,5.0,the United States ,"November 14, 2022",as described,my son loves them. very comfortable for him
98,Yuna0103,5.0,the United States ,"October 28, 2022",Perfect Fit,I thought these were gonna be a little big on my son because he's a little on the short side.  But they were a perfect fit and he loves them.
99,ARC,5.0,the United States ,"September 6, 2022",These will always be my go-to for my little guys!,"We've now purchased several packs of these for our boys from sizes small to large (and about to order XL). We've never had a single problem with even 1 pair and they've gone from my oldest son, to my youngest, and now to another kid. Normally, I'd think that's absolutely gross... but these have never stained, wash and dry extremely well (our washing and drying routine should be brutal on clothes--lots of high heat in both). I wash all of our clothes with peroxide poured into the bleach slot. These all look brand new always. Very very very pleased and my sons love them! They're the only ones we've used that just fit right with no worries. Good coverage, but good stretch--never tight. Zero complaints from this Mama of 2 boys!"
100,Amanda Becerra,1.0,the United States ,"November 20, 2022",They tore after first wash,I washed them one time with detergent no bleach and they tore. Multiple pairs all did the same thing
101,Amazon Customer,1.0,the United States ,"September 29, 2022",Poor quality,These socks are not very good.  After washing and drying them they are trash.  Shrunk alot and the fabric is now distorted and pilling after wash and dry.  Not happy with this purchase!!!!
102,Christina Snyder,1.0,the United States ,"October 8, 2021",Seam is a hot mess,"I ordered these for my son. He HATES them. The seam on the inside is all weird, has tons of little 'hairs' or pieces of material hanging off the seam, so they just stuck between his toes and tickle/itch his toes. Totally weird feeling. At first I thought my son was crazy, but when I turned them inside out and saw what he was complaining about - I wouldn't wear them either. Wish I could return them, but I really disregarded his complaint for the first two weeks we had them, so now I had to order new better ones, and am stuck throwing these away."
103,Heather,1.0,the United States ,"May 13, 2022",Not breathable,"I think these socks are not the same as they used to be. I have bought them in the past and my son loved them but these are different. They don’t have any cotton in them and are not breathable which means sweaty, stinky feet. After 3 days I can’t stand them and I bought new socks."
104,Kari,1.0,the United States ,"July 5, 2022",Immediately frayed. Paper thin.,I do not suggest Buying these socks. I wish I had not. They have immediately started to fray and pull. If I put my hand in the sock I can see through it. Will be returning
105,M Taylor,1.0,the United States ,"February 2, 2021",Terrible Quality - Falling Apart,"I'm shocked at how quickly these socks are falling apart with normal wear. My son mostly just wears these around the house and has already gotten 3 holes, plus a lot of pilling of the material. We've had these for only a few months and they look awful.Edited to add: I've reduced my rating from 2 stars to 1. These socks really are the worst we've ever bought - every single one of them has holes. I'm even more disappointed considering these are from Fruit of the Loom... these are such low quality!"
106,jennifer,1.0,the United States ,"May 30, 2022",Terrible socks!,Didn’t even have these for 2 months. After first wash they became gross and grosser. Not sure if it where ever they are coming from but will go to the store and purchase hanes now
107,New Mom,1.0,the United States ,"October 20, 2021",Unravel quickly,"My 6 year old loves these socks. They are soft and fit well, but like other reviewers we’ve found they unravel quickly and way too easily. As in, he stood on a plastic stool and snagged a hole in not one but two pairs. Would not waste the money as we’ve had these for a mere two weeks."
108,Jessi,1.0,the United States ,"June 15, 2020",Sizing not accurate,"My 4 year old wears between size 12 shoes... These socks were advertised to fit shoe size 9.5-2, so he should have fallen right in the middle of that size range, and they are huge.  My 10 year old wears a size 3 shoe and they are even too big on him.  I washed them in hot water and dried on high heat hoping they'd shrink some and no luck.  Now I also can't return.  Not satisfied with this purchase whatsoever."
109,Rachel B.,1.0,the United States ,"August 12, 2022",DO NOT BUY,Do not buy these socks. They unraveled after the first wash!!!
110,Food Fan,2.0,the United States ,"November 27, 2022",intially fine; wore out quickly,"initially seemed to be good, but after they are worn/washed maybe 10 times then holes began to appear in the toes and heels.  I won't be buying again.  They can't stand up to active kids."
111,Gail Harris,2.0,the United States ,"August 4, 2022",Nice socks but not correct size.,I based the size on the description but they were too small.
112,Jessica,2.0,the United States ,"January 30, 2022",Sweaty little feet.....,These socks are good for keeping feet warm but i wouldn't recommend them for wearing them with shoes. After a day of light walking or running in shoes my son feet are sweaty. The socks make your kids feet sweat and stay wet. I know it is my son's socks not shoes because he has socks by a different brand that we have no issues with.
113,Matthew Reardon,2.0,the United States ,"September 17, 2021","Soft Feel, Good Fit, Poor Quality","These socks were initially a hit. They are soft to the touch, fit well, had some fun colors on the toe and heel, and were easy to get on (for a five year old). However, only a few weeks into them and there are threads coming off  of the toe and bottom like the sock is unraveling. I don't expect these socks to make it more than another few weeks before there are holes as a result."
114,pachica garcia,2.0,the United States ,"January 27, 2022",Just one wash,Two socks' garters are already messed up after the initial wash.
115,hal42004,2.0,the United States ,"April 14, 2021",Nice socks but fall apart quickly,I really liked these socks for my son but after just 2 or 3 washes they were covered in strings on the bottom. Now he says they are uncomfortable when wearing shoes. I wish they would have held up longer before falling apart.
116,Debbie & Robbie,2.0,the United States ,"October 20, 2021",Socks are just ok,"Socks are ok, some already have holes. Its been a month."
117,Anonymous ,2.0,the United States ,"September 27, 2020",Pilled after first wear,Pretty terrible quality. Pilled and looked old and used after just one wear. Not pleased but didn’t return as he needed white socks.
118,Marielyn gratton,2.0,the United States ,"August 22, 2021",They got little pills on them very quickly,After you wash them they get all pili
119,Amazon Customer,2.0,the United States ,"June 7, 2020",Cheap,Bought these 4 months ago. About 6 socks have holes. I won’t be buying again. 2 stars because I got what I paid for.
120,Charmain Sweat,3.0,the United States ,"July 28, 2022",The Socks are very small,The socks ended up being much smaller than ordered. I ordered the size for a ten yt old but there so small they fit a 3 year old. So I just gave them away 🤷🏾‍♀️
121,Kelly,3.0,the United States ,"February 6, 2021",Just OK,"This product functions well enough, but didn't hold up well at all after one cycle through the laundry. All of the socks started to string and pill immediately, looking quite tattered. I would say my son is an average sock wearer. We rarely leave the house these days so he wears them around the house mostly. It certainly doesn’t affect the function, as he’s a typical boy who doesn’t care if his socks have little strings or fuzzies. If you have a more sensitive kiddo, the inside of the socks have quite a bit of fuzz/string that might be problematic for someone with sensory issues."
122,Meg,3.0,the United States ,"February 17, 2021",Sub-par,"I have bought a few sets of socks off amazon, and they all seem poorer quality than what I would get in a store. They seem fine when I open them, but after one wash they already look dingy and have many strings coming off. They aren’t falling apart, but already don’t look new. I think I’ll go back to brick and mortar stores for socks. I don’t know why there is a difference!"
123,Mark T.,3.0,the United States ,"March 28, 2021",The toe seam is really stiff,"I would have kept these socks other than the fact that the toe seam was so stiff.  I washed 1 pair to see if it would soften, but it did not.  I was surprised as FOTL should be in the business long enough to not have an issue as basic as that.  Sending them back."
124,Dana C.,3.0,the United States ,"October 16, 2019",Meh- they work,"Bought these for my 4yr old. Sizing is about right. Colors are fun and vibrant, socks are soft and cozy- he loves them. As a parent- they won't last long. I washed them and they were already pilling and had some pulling strings. Then add in him actually wearing them and they look more like socks that he has had for some time instead of new ones that were just bought. So they work, and they might last through the winter and until he can go back to sandals in late spring but only time will really tell."
125,Megan Wyatt,3.0,the United States ,"October 18, 2020",Too big and falling apart,I bought the Medium for my little boy who wears toddler size 10. They are way too big. Just putting up for him to grow into. Purchased small they fit. He wore them and they have all these threads hanging off. They are falling apart too quickly not worth it.
126,T. Gale,3.0,the United States ,"October 21, 2020",pretty thin socks,"I don't expect these socks to last very long. They're very thin.  I also purchased t another brand at the same time that were more expensive, but I am very happy with those.  These aren't terrible, but you get what you pay for."
127,Brizm,3.0,the United States ,"July 29, 2020",Are these real name brand?,Bought for my 2 and a half year old who wears a kid size 9. So he is on the low end of the sizing but they are big for him. Also not as thick as I would of thought for fruit of the loom
128,Amazon Customer,3.0,the United States ,"July 5, 2021",Easily rip,Easily rip at seam on ankle
129,Nikole Streight,3.0,the United States ,"May 20, 2019","Just ok, probably wouldn't buy again.",These did not live up to my expectations.  I feel like the ones you'd but at Walmart or target are better quality even though they are the same brand. The bottom of the sock is nice and soft but the top of the foot area is thin and rough feeling.  I actually bought two different big-brand packages for my son and had the same issue with both.  Super disappointed.
130,dee,4.0,the United States ,"November 5, 2022",Great value,I bought these for our 7 1)2 year old grandson and they are great socks and a great value!
131,Amanda Dailey,4.0,the United States ,"September 30, 2022",Great fit but poorly made,"These socks are the perfect sock as far we comfort and stretch. They are also very soft. I would have given them 5 stars, but so far my son has had around 6 pairs to unravel at the top. That makes the sock have a giant hole in it and it is useless then!! I’m already about to have to buy him socks again because of this problem."
132,Victoria Frost,4.0,the United States ,"February 13, 2022",Order up,Very comfortable socks but I would recommend getting a size up from what you think your kid will need.
133,Jo lester,4.0,the United States ,"February 16, 2022",Boys socks,"Kids were bothered by strings in socks, overall the quality seems good."
134,Erin Matheson Hoy,4.0,the United States ,"October 9, 2020",Good socks for kids,"Good socks, only reason they didnt get a 5 star is because they still put the plastic tag on them that holds together the socks even though they are in a bag. Subsequently they snagged several pairs of socks. I guess I just didnt see the point of the plastic tags when they are in a bag."
135,Ryan Elofson,4.0,the United States ,"May 27, 2020",Should last a few months,"Nice and comfy, but not durable. After only a few wears I'm seeing strings emerge from the toes. I could say it's due to hard wear but no, my son rips off his shoes and socks as often as possible...even when were supposed to be someplace in 10 minutes and suddenly he doesn't know where anything is..ahhhhhh"
136,K. Goode,4.0,the United States ,"May 11, 2020",On the thin side,"The socks were a little thinner than I was expecting but not in a cheap way.  They washed up find and fit my son who wears a size 12 toddler shoe just fine.  For the price and so far the quality shown, these were a good buy."
137,Luka,4.0,the United States ,"October 16, 2020",Great socks,"Why are these ""boy"" socks?? I got several packs for my girls and they love them. They are very soft and the medium size fits both my 4 year old (10-11 shoes) and 7 year old (13-1 shoes)."
138,Excellent,4.0,the United States ,"June 19, 2021",price and amount.,kids socks.
139,Christian Cameron,4.0,the United States ,"January 10, 2021",Durable,Pretty good as far as boys socks go. We go through socks like crazy and these have lasted slightly longer than others
